School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
RONALD W. REAGAN ELEMENTARY,California,CA ,RONALD W. REAGAN ELEMENTARY,061980011915,KINGSBURG ELEM CHARTER,0619800,FRESNO COUNTY,06019,Reported 7 categories,06,2006-2014,1986-2005,KINGSBURG,CA ,93631,1180 DIANE AVE.,1-Regular school,7-Independent Charter District,1-Currently operational ,1-Yes
RONALD W. REAGAN ELEMENTARY,California,CA ,RONALD W. REAGAN ELEMENTARY,063525011999,SANGER UNF,0635250,FRESNO COUNTY,06019,Reported 7 categories,06,2006-2014,1986-2005,SANGER,CA ,93657,1586 S. INDIANOLA,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOFTOP ELEMENTARY,California,CA ,ROOFTOP ELEMENTARY,063441005661,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94131,443 BURNETT AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT,California,CA ,ROOSEVELT,062994007816,PASADENA UNF,0629940,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,PASADENA,CA ,91103,315 N. PASADENA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT (THEODORE) ELEMENTARY,California,CA ,ROOSEVELT (THEODORE) ELEMENTARY,060261000165,ANAHEIM CITY,0602610,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,ANAHEIM,CA ,92805,1600 E. VERMONT AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063801006431,STOCKTON UNF,0638010,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1986-2014,,STOCKTON,CA ,95205,776 S. BRD.WAY AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063393005328,SALINAS CITY ELEM,0633930,MONTEREY COUNTY,06053,Reported 7 categories,06,1986-2014,,SALINAS,CA ,93901,120 CAPITOL ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063417005383,SAN BERNARDINO CITY UNF,0634170,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,SAN BERNARDINO,CA ,92411,1554 GARNER AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063468005841,SAN LEANDRO UNF,0634680,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,SAN LEANDRO,CA ,94577,951 DOWLING BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063132004859,POMONA UNF,0631320,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,POMONA,CA ,91768,701 N. HNTNGTN BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063570006101,SANTA MONICA-MALIBU UNF,0635700,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,SANTA MONICA,CA ,90403,801 MONTANA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,061647002083,HANFORD ELEM,0616470,KINGS COUNTY,06031,Reported 7 categories,06,1986-2014,,HANFORD,CA ,93230,870 DAVIS ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,060962000993,COMPTON UNF,0609620,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,COMPTON,CA ,90221,700 N. BRADFIELD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,062316003538,LYNWOOD UNF,0623160,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LYNWOOD,CA ,90262,10835 MALLISON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,062187012765,LINDSAY UNF,0621870,TULARE COUNTY,06107,Reported 7 categories,06,2010-2014,1986-2009,LINDSAY,CA ,93247,461 W. HICKORY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,061980002381,KINGSBURG ELEM CHARTER,0619800,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,KINGSBURG,CA ,93631,1185 TENTH ST.,1-Regular school,7-Independent Charter District,1-Currently operational ,1-Yes
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,062250002756,LONG BEACH UNF,0622500,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LONG BEACH,CA ,90806,1400 E. 20TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,060797007673,CENTRAL UNF,0607970,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93723,2600 N. GARFIELD AVE,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,060363000317,BAKERSFIELD CITY,0603630,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,BAKERSFIELD,CA ,93304,2324 VERDE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063987006617,TULARE CITY,0639870,TULARE COUNTY,06107,Reported 7 categories,06,1986-2014,,TULARE,CA ,93274,1046 W. SONORA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,060006509359,DINUBA UNF,0600065,TULARE COUNTY,06107,Reported 7 categories,06,1998-2014,1986-1997,DINUBA,CA ,93618,1311 EUCLID AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063870006508,TAFT CITY,0638700,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,TAFT,CA ,93268,811 SIXTH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063213004972,REDWOOD CITY ELEM,0632130,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,REDWOOD CITY,CA ,94061,2223 VERA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,063442500575,SAN GABRIEL UNF,0634425,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1992-2014,1986-1991,SAN GABRIEL,CA ,91776,401 S. WALNUT GROVE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT ELEMENTARY,California,CA ,ROOSEVELT ELEMENTARY,060648007418,BURLINGAME ELEM,0606480,SAN MATEO COUNTY,06081,Reported 7 categories,06,1997-2014,1986-1996,BURLINGAME,CA ,94010,1151 VANCOUVER AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT HIGH,California,CA ,ROOSEVELT HIGH,061455001762,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93702,4250 E. TULARE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT INTERNATIONAL MIDDLE,California,CA ,ROOSEVELT INTERNATIONAL MIDDLE,063432005541,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92103,3366 PARK BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT JUNIOR HIGH,California,CA ,ROOSEVELT JUNIOR HIGH,062513003748,MODESTO CITY ELEM,0625130,STANISLAUS COUNTY,06099,Reported 7 categories,06,1986-2014,,MODESTO,CA ,95350,1330 COLLEGE AVE.,1-Regular school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT MIDDLE,California,CA ,ROOSEVELT MIDDLE,063441005662,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94118,460 ARGUELLO BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT MIDDLE,California,CA ,ROOSEVELT MIDDLE,062805004312,OAKLAND UNF,0628050,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,OAKLAND,CA ,94606,1926 19TH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT MIDDLE,California,CA ,ROOSEVELT MIDDLE,060962000994,COMPTON UNF,0609620,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,COMPTON,CA ,90221,1200 E. ALONDRA BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOSEVELT MIDDLE,California,CA ,ROOSEVELT MIDDLE,064119009459,VISTA UNF,0641190,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1988-2014,1986-1987,OCEANSIDE,CA ,92057,850 SAGEWOOD DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROOTS INTERNATIONAL ACADEMY,California,CA ,ROOTS INTERNATIONAL ACADEMY,062805011907,OAKLAND UNF,0628050,ALAMEDA COUNTY,06001,Reported 7 categories,06,2006-2014,1986-2005,OAKLAND,CA ,94621,1390 66TH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROP CENTER,California,CA ,ROP CENTER,062271012158,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2007-2014,1986-2006,LOS ANGELES,CA ,90017,333 S. BEAUDRY AVE. 18TH FL.,3-Vocational school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RORIMER ELEMENTARY,California,CA ,RORIMER ELEMENTARY,063375005210,ROWLAND UNF,0633750,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LA PUENTE,CA ,91744,18750 E. RORIMER ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSA PARKS ELEMENTARY,California,CA ,ROSA PARKS ELEMENTARY,062316008031,LYNWOOD UNF,0623160,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1999-2014,1986-1998,LYNWOOD,CA ,90262,3900 AGNES ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSA PARKS ELEMENTARY,California,CA ,ROSA PARKS MIDDLE,063384005231,SACRAMENTO CITY UNF,0633840,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95822,2250 68TH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSA PARKS ELEMENTARY,California,CA ,ROSA PARKS ELEMENTARY,063432007328,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1997-2014,1986-1996,SAN DIEGO,CA ,92105,4510 LANDIS ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSA PARKS ELEMENTARY,California,CA ,ROSA PARKS ELEMENTARY,060985011994,CORONA-NORCO UNF,0609850,RIVERSIDE COUNTY,06065,Reported 7 categories,06,2006-2014,1986-2005,CORONA,CA ,92880,13830 WHISPERING HILLS DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,California,CA ,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,060474006865,BERKELEY UNF,0604740,ALAMEDA COUNTY,06001,Reported 7 categories,06,1997-2014,1986-1996,BERKELEY,CA ,94710,920 ALLSTON WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSA PARKS LEARNING CENTER,California,CA ,ROSA PARKS LRN CENTER,062271011623,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2005-2014,1986-2004,NORTH HILLS,CA ,91343,8855 NOBLE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSAMOND ELEMENTARY,California,CA ,ROSAMOND ELEMENTARY,063762006373,SOUTHERN KERN UNF,0637620,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,ROSAMOND,CA ,93560,1981 ROSAMOND BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSAMOND HIGH,California,CA ,ROSAMOND HIGH,063762006374,SOUTHERN KERN UNF,0637620,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,ROSAMOND,CA ,93560,2925 ROSAMOND BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSCOE ELEMENTARY,California,CA ,ROSCOE ELEMENTARY,062271003316,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,SUN VALLEY,CA ,91352,10765 STRATHERN ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSCOMARE ROAD ELEMENTARY,California,CA ,ROSCOMARE ROAD ELEMENTARY,062271003317,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90077,2425 ROSCOMARE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSE AVENUE ELEMENTARY,California,CA ,ROSE AVENUE ELEMENTARY,062922004513,OXNARD,0629220,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2014,,OXNARD,CA ,93030,220 S. DRISKILL ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSE AVENUE ELEMENTARY,California,CA ,ROSE AVENUE ELEMENTARY,062513003749,MODESTO CITY ELEM,0625130,STANISLAUS COUNTY,06099,Reported 7 categories,06,1986-2014,,MODESTO,CA ,95355,1120 ROSE AVE.,1-Regular school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
ROSE CITY HIGH (CONTINUATION),California,CA ,ROSE CITY HIGH (CONTINUATION),062994004669,PASADENA UNF,0629940,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,PASADENA,CA ,91109,351 HUDSON AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSE DRIVE ELEMENTARY,California,CA ,ROSE DRIVE ELEMENTARY,063066009614,PLACENTIA-YORBA LINDA UNF,0630660,ORANGE COUNTY,06059,Reported 7 categories,06,1989-2014,1986-1988,YORBA LINDA,CA ,92886,4700 ROSE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSE ELEMENTARY,California,CA ,ROSE ELEMENTARY,061288001464,ESCONDIDO UNION,0612880,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,ESCONDIDO,CA ,92027,906 N. ROSE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSE FERRERO ELEMENTARY,California,CA ,ROSE FERRERO ELEMENTARY,063705008746,SOLEDAD UNF,0637050,MONTEREY COUNTY,06053,Reported 7 categories,06,2001-2014,1986-2000,SOLEDAD,CA ,93960,400 ENTRADA DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSEBANK ELEMENTARY,California,CA ,ROSEBANK ELEMENTARY,060861000876,CHULA VISTA ELEM,0608610,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,CHULA VISTA,CA ,91911,80 FLOWER ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSECRANS ELEMENTARY,California,CA ,ROSECRANS ELEMENTARY,060962000995,COMPTON UNF,0609620,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,COMPTON,CA ,90227,1301 N. ACACIA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSEDALE ELEMENTARY,California,CA ,ROSEDALE ELEMENTARY,060837000828,CHICO UNF,0608370,BUTTE COUNTY,06007,Reported 7 categories,06,1986-2014,,CHICO,CA ,95928,100 OAK ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSEDALE MIDDLE,California,CA ,ROSEDALE MIDDLE,063348005174,ROSEDALE UNION ELEM,0633480,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,BAKERSFIELD,CA ,93312,12463 ROSEDALE HWY.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSEDALE-NORTH ELEMENTARY,California,CA ,ROSEDALE-NORTH ELEMENTARY,063348005175,ROSEDALE UNION ELEM,0633480,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,BAKERSFIELD,CA ,93312,11500 MEACHAM AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSEDELL ELEMENTARY,California,CA ,ROSEDELL ELEMENTARY,063597006158,SAUGUS UNION,0635970,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,SAUGUS,CA ,91350,27853 URBANDALE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSELAND CHARTER,California,CA ,ROSELAND CHARTER,063351011178,ROSELAND ELEM,0633510,SONOMA COUNTY,06097,Reported 7 categories,06,2003-2014,1986-2002,SANTA ROSA,CA ,95407,100 SEBASTOPOL RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ROSELAND ELEMENTARY,California,CA ,ROSELAND ELEMENTARY,063351005176,ROSELAND ELEM,0633510,SONOMA COUNTY,06097,Reported 7 categories,06,1986-2014,,SANTA ROSA,CA ,95407,950 SEBASTOPOL RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSELAWN HIGH,California,CA ,ROSELAWN HIGH,060015811504,TURLOCK UNF,0600158,STANISLAUS COUNTY,06099,Reported 7 categories,06,2004-2014,1986-2003,TURLOCK,CA ,95380,312 S. ROSELAWN,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROSEMARY ELEMENTARY,California,CA ,ROSEMARY ELEMENTARY,060720000675,CAMPBELL UNION,0607200,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,CAMPBELL,CA ,95008,401 W. HAMILTON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
